$ csvcut -K 1 -c 4,6 appearances.csv | sort | uniq -c | sort -nr
   2 Russell Brand,Unknown
   2 Roy Evans (engineer),Unknown
   2 Rosie Kane,Scottish Socialist Party
   2 Rosemary Hollis,Unknown
   2 Rosalind Miles,Unknown
   2 Robert McCartney (Northern Irish politician),UK Unionist Party
   2 Robert Maxwell,Labour Party
   2 Richard Needham,Conservative Party
   2 Richard Lambert,Unknown
   2 Richard Dannatt,Unknown
   2 Rhona Cameron,Unknown
   2 Rageh Omaar,Unknown
   2 Rachel Johnson,Unknown
   2 Phil Redmond,Unknown
   2 Petronella Wyatt,Unknown
   2 Peter Ridsdale,Unknown
   2 Peter Parker (British businessman),Unknown
   2 Peter Newsam,Unknown
   2 Peter Jay (diplomat),Unknown
   2 Peter Ainsworth,Conservative Party
   2 Peg Alexander,Unknown
   2 Paul Tyler,Liberal Party
   2 Patricia Mann,Unknown
   2 P. D. James,Unknown
   2 Owen Paterson,Conservative Party
   2 Noreena Hertz,Unknown
   2 Nish Kumar,Unknown
   2 Nigella Lawson,Unknown
   2 Nigel Evans,Conservative Party
   2 Nick Hewer,Unknown
   2 Nick Cohen,Unknown
   2 Nicholas Scott,Conservative Party
   2 Nicholas Fairbairn,Conservative Party
   2 Neil Wallis,Unknown
   2 Neil McIntosh (public administrator),Unknown
   2 Nazir Afzal,Unknown
   2 Myra Blyth,Unknown
   2 Monty Don,Unknown
   2 Mitchel McLaughlin,Sinn Féin
   2 Minette Marrin,Unknown
   2 Mick Hucknall,Unknown
   2 Michael Moore,Unknown
   2 Michael Mates,Conservative Party
   2 Michael Mansfield,Unknown
   2 Michael Grade,Unknown
   2 Max Mosley,Unknown
   2 Mary Holland,Unknown
   2 Martin Sorrell,Unknown
   2 Martha Lane Fox,Crossbencher
   2 Mark Reckless,Independent
   2 Mark Harper,Conservative Party
   2 Marion Roe,Conservative Party
   2 Mariella Frostrup,Unknown
   2 Maria Misra,Unknown
   2 Maria Miller,Conservative Party
   2 Marcus Brigstocke,Unknown
   2 Marc Roche,Unknown
   2 Maeve Sherlock,Labour Party
   2 M&C Saatchi,Unknown
   2 Lucy Powell,Labour Party
   2 Loyd Grossman,Unknown
   2 Lorna Fitzsimons,Labour Party
   2 Liz Saville Roberts,Plaid Cymru
   2 Lionel Shriver,Unknown
   2 Linda Smith (comedian),Unknown
   2 Linbert Spencer,Unknown
   2 Leo Pliatzky,Unknown
   2 Laurie Penny,Unknown
   2 Lauren Booth,Unknown
   2 Laura Perrins,Unknown
   2 Lalage Bown,Unknown
   2 Kwame Kwei-Armah,Unknown
   2 Kim Howells,Labour Party
   2 Keith Vaz,Labour Party
   2 Kay Coleman,Unknown
   2 Katie Hopkins,Unknown
   2 Kat Fletcher,Labour Party
   2 Karen Bradley,Conservative Party
   2 Kamlesh Bahl,Unknown
   2 Jürgen Maier,Unknown
   2 Justin King (businessman),Unknown
   2 Julian Critchley,Unknown
   2 Judith Donovan,Unknown
   2 Jude Kelly,Unknown
   2 Jr.,Unknown
   2 Jonathan Freedland,Unknown
   2 Jonathan Bartley,Green Party
   2 Jonathan Aitken,Conservative Party
   2 Jon Ashworth,Labour Party
   2 John Thorn (headmaster),Unknown
   2 John Pardoe,Liberal Party
   2 John O'Dowd,Sinn Féin
   2 John Mortimer,Unknown
   2 John Monks,Labour Party
   2 John Mann (British politician),Labour Party
   2 John Alderson (police officer),Unknown
   2 Joel Edwards (Evangelical Alliance),Unknown
   2 Joel Barnett,Labour Party
   2 Joe Haines (journalist),Unknown
   2 Jock Bruce-Gardyne,Conservative Party
   2 Jo-Anne Nadler,Unknown
   2 Jimmy Wales,Unknown
   2 Jim Murphy,Labour Party
   2 Jim Knight,Labour Party
   2 Jess Phillips,Labour Party
   2 Jerry Springer,Democratic Party (United States)
   2 Jeremy Clarkson,Unknown
   2 Jeremy Bullmore,Unknown
   2 Jean Millar,Unknown
   2 Jean Denton,Unknown
   2 Janice Lennon,Unknown
   2 Janice Atkinson,Independent
   2 Janey Buchan,Unknown
   2 Janet Fookes,Conservative Party
   2 Jan Hall,Unknown
   2 James Cleverly,Conservative Party
   2 James Anderton,Unknown
   2 Ivan Massow,Unknown
   2 Isobel Lindsay,Unknown
   2 Irvine Welsh,Unknown
   2 Ian McCartney,Labour Party
